seed,round,loop,objective,open_branches
101,0,L4,994.3430551790937,20-58-61-69-71
101,0,L4,994.3430551790937,20-58-61-69-71
101,0,L1,994.3430551790937,20-58-61-69-71
101,0,L1,994.61025957669,19-58-61-69-71
101,0,L4,994.3430551790937,20-58-61-69-71
101,0,L1,994.934747505952,18-58-61-69-71
101,0,L4,994.3430551790937,20-58-61-69-71
101,0,L4,994.3430551790937,20-58-61-69-71
101,0,L1,994.3430551790937,20-58-61-69-71
101,0,L1,994.934747505952,18-58-61-69-71
101,0,L4,994.3430551790937,20-58-61-69-71
101,0,L4,994.3430551790937,20-58-61-69-71
202,0,L4,994.3430551790937,20-58-61-69-71
202,0,L4,994.3430551790937,20-58-61-69-71
202,0,L1,994.3430551790937,20-58-61-69-71
202,0,L1,994.61025957669,19-58-61-69-71
202,0,L4,994.3430551790937,20-58-61-69-71
202,0,L1,994.934747505952,18-58-61-69-71
202,0,L4,994.3430551790937,20-58-61-69-71
202,0,L4,994.3430551790937,20-58-61-69-71
202,0,L1,994.3430551790937,20-58-61-69-71
202,0,L1,994.61025957669,19-58-61-69-71
202,0,L4,994.3430551790937,20-58-61-69-71
202,0,L1,994.934747505952,18-58-61-69-71
202,0,L4,994.3430551790937,20-58-61-69-71
303,0,L4,994.3430551790937,20-58-61-69-71
303,0,L4,994.3430551790937,20-58-61-69-71
303,0,L1,994.3430551790937,20-58-61-69-71
303,0,L1,994.61025957669,19-58-61-69-71
303,0,L4,994.3430551790937,20-58-61-69-71
303,0,L1,994.934747505952,18-58-61-69-71
303,0,L4,994.3430551790937,20-58-61-69-71
303,0,L4,994.3430551790937,20-58-61-69-71
303,0,L1,994.3430551790937,20-58-61-69-71
303,0,L1,994.61025957669,19-58-61-69-71
303,0,L4,994.3430551790937,20-58-61-69-71
303,0,L1,994.934747505952,18-58-61-69-71
303,0,L4,994.3430551790937,20-58-61-69-71
404,0,L4,994.3430551790937,20-58-61-69-71
404,0,L4,994.3430551790937,20-58-61-69-71
404,0,L1,994.3430551790937,20-58-61-69-71
404,0,L1,994.61025957669,19-58-61-69-71
404,0,L4,994.3430551790937,20-58-61-69-71
404,0,L1,994.934747505952,18-58-61-69-71
404,0,L4,994.3430551790937,20-58-61-69-71
404,0,L4,994.3430551790937,20-58-61-69-71
404,0,L1,994.3430551790937,20-58-61-69-71
404,0,L1,994.61025957669,19-58-61-69-71
404,0,L4,994.3430551790937,20-58-61-69-71
404,0,L1,994.934747505952,18-58-61-69-71
404,0,L4,994.3430551790937,20-58-61-69-71
505,0,L4,994.3430551790937,20-58-61-69-71
505,0,L4,994.3430551790937,20-58-61-69-71
505,0,L1,994.3430551790937,20-58-61-69-71
505,0,L1,994.61025957669,19-58-61-69-71
505,0,L4,994.3430551790937,20-58-61-69-71
505,0,L1,994.934747505952,18-58-61-69-71
505,0,L4,994.3430551790937,20-58-61-69-71
505,0,L4,994.3430551790937,20-58-61-69-71
505,0,L1,994.3430551790937,20-58-61-69-71
505,0,L1,994.61025957669,19-58-61-69-71
505,0,L4,994.3430551790937,20-58-61-69-71
505,0,L1,994.934747505952,18-58-61-69-71
505,0,L4,994.3430551790937,20-58-61-69-71
