case,scenario,branch_id,from_bus,to_bus,closed,available,P_MW,Q_Mvar
ieee69,0,1,1,2,1,1,2.1291759999999993,2.694700000000001
ieee69,0,2,2,3,1,1,2.1291759999999993,2.694700000000001
ieee69,0,3,3,4,1,1,1.8520760000000003,2.5004000000000026
ieee69,0,4,4,5,1,1,0.49613800000000374,0.934999999999997
ieee69,0,5,5,6,1,1,0.49613800000000374,0.934999999999997
ieee69,0,6,6,7,1,1,0.4935380000000045,0.9328000000000003
ieee69,0,7,7,8,1,1,0.4531379999999974,0.9027999999999992
ieee69,0,8,8,9,1,1,0.33403800000000317,0.8178000000000019
ieee69,0,9,9,10,1,1,0.2493380000000034,0.7561000000000018
ieee69,0,10,10,11,1,1,0.2213379999999976,0.7371000000000016
ieee69,0,11,11,12,1,1,0.32311918749999613,0.6071000000000026
ieee69,0,12,12,13,1,1,0.12211918750000272,0.46310000000000073
ieee69,0,13,13,14,1,1,-0.10828118750000115,0.10609999999999786
ieee69,0,14,14,15,1,1,-0.11628118750000027,0.1006000000000018
ieee69,0,15,15,16,1,1,-0.11628118750000027,0.1006000000000018
ieee69,0,16,16,17,1,1,-0.1617811875000008,0.07060000000000066
ieee69,0,17,17,18,1,1,-0.22178118750000309,0.035600000000002296
ieee69,0,18,18,19,1,1,0.0009999999999976694,0.0006000000000039307
ieee69,0,19,19,20,1,1,0.0009999999999976694,0.0006000000000039307
ieee69,0,20,20,21,0,1,0.0,0.0
ieee69,0,21,21,22,1,1,0.3793000000000024,0.2705000000000002
ieee69,0,22,22,23,1,1,0.3739999999999988,0.26699999999999946
ieee69,0,23,23,24,1,1,0.3739999999999988,0.26699999999999946
ieee69,0,24,24,25,1,1,0.34600000000000186,0.24700000000000166
ieee69,0,25,25,26,1,1,0.34600000000000186,0.24700000000000166
ieee69,0,26,26,27,1,1,0.33199999999999896,0.23699999999999832
ieee69,0,27,3,28,1,1,0.09149999999999991,0.06520000000000081
ieee69,0,28,28,29,1,1,0.06549999999999834,0.046600000000003305
ieee69,0,29,29,30,1,1,0.03949999999999676,0.027999999999996916
ieee69,0,30,30,31,1,1,0.03949999999999676,0.027999999999996916
ieee69,0,31,31,32,1,1,0.03949999999999676,0.027999999999996916
ieee69,0,32,32,33,1,1,0.03949999999999676,0.027999999999996916
ieee69,0,33,33,34,1,1,0.025500000000002743,0.01800000000000246
ieee69,0,34,34,35,1,1,0.00600000000000378,0.0039999999999995595
ieee69,0,35,3,36,1,1,0.1855999999999991,0.12909999999999755
ieee69,0,36,36,37,1,1,0.15959999999999752,0.11050000000000004
ieee69,0,37,37,38,1,1,0.13359999999999594,0.09190000000000254
ieee69,0,38,38,39,1,1,0.13359999999999594,0.09190000000000254
ieee69,0,39,39,40,1,1,0.10959999999999859,0.07489999999999775
ieee69,0,40,40,41,1,1,0.08560000000000123,0.05790000000000184
ieee69,0,41,41,42,1,1,0.08440000000000225,0.05690000000000417
ieee69,0,42,42,43,1,1,0.08440000000000225,0.05690000000000417
ieee69,0,43,43,44,1,1,0.07839999999999847,0.052599999999998204
ieee69,0,44,44,45,1,1,0.07839999999999847,0.052599999999998204
ieee69,0,45,45,46,1,1,0.039199999999999235,0.026299999999999102
ieee69,0,46,4,47,1,1,1.3559379999999965,1.5653999999999968
ieee69,0,47,47,48,1,1,1.3559379999999965,1.5653999999999968
ieee69,0,48,48,49,1,1,1.276938000000003,1.5090000000000003
ieee69,0,49,49,50,1,1,1.1750191875000038,1.2345000000000006
ieee69,0,50,8,51,1,1,0.04410000000000025,0.030999999999998806
