seed,round,loop,objective,open_branches
101,0,L4,410.2757455624217,10-20-58-61-71
101,0,L4,410.2757455624217,10-20-58-61-71
101,0,L3,410.2757455624217,10-20-58-61-71
101,0,L3,410.5724660971832,10-19-58-61-71
101,0,L4,410.2757455624217,10-20-58-61-71
101,0,L1,410.2757455624217,10-20-58-61-71
101,0,L3,410.92635158790074,10-18-58-61-71
101,0,L4,410.2757455624217,10-20-58-61-71
101,0,L1,410.5724660971832,10-19-58-61-71
101,0,L4,410.2757455624217,10-20-58-61-71
101,0,L4,410.2757455624217,10-20-58-61-71
101,0,L2,410.2757455624217,10-20-58-61-71
202,0,L4,410.2757455624217,10-20-58-61-71
202,0,L4,410.2757455624217,10-20-58-61-71
202,0,L3,410.2757455624217,10-20-58-61-71
202,0,L3,410.5724660971832,10-19-58-61-71
202,0,L4,410.2757455624217,10-20-58-61-71
202,0,L1,410.2757455624217,10-20-58-61-71
202,0,L3,410.92635158790074,10-18-58-61-71
202,0,L4,410.2757455624217,10-20-58-61-71
202,0,L1,410.5724660971832,10-19-58-61-71
202,0,L4,410.2757455624217,10-20-58-61-71
202,0,L4,410.2757455624217,10-20-58-61-71
202,0,L2,410.2757455624217,10-20-58-61-71
303,0,L4,410.2757455624217,10-20-58-61-71
303,0,L4,410.2757455624217,10-20-58-61-71
303,0,L3,410.2757455624217,10-20-58-61-71
303,0,L3,410.5724660971832,10-19-58-61-71
303,0,L4,410.2757455624217,10-20-58-61-71
303,0,L1,410.2757455624217,10-20-58-61-71
303,0,L3,410.92635158790074,10-18-58-61-71
303,0,L4,410.2757455624217,10-20-58-61-71
303,0,L1,410.5724660971832,10-19-58-61-71
303,0,L4,410.2757455624217,10-20-58-61-71
303,0,L4,410.2757455624217,10-20-58-61-71
303,0,L2,410.2757455624217,10-20-58-61-71
404,0,L4,410.2757455624217,10-20-58-61-71
404,0,L4,410.2757455624217,10-20-58-61-71
404,0,L3,410.2757455624217,10-20-58-61-71
404,0,L3,410.5724660971832,10-19-58-61-71
404,0,L4,410.2757455624217,10-20-58-61-71
404,0,L1,410.2757455624217,10-20-58-61-71
404,0,L3,410.92635158790074,10-18-58-61-71
404,0,L4,410.2757455624217,10-20-58-61-71
404,0,L1,410.5724660971832,10-19-58-61-71
404,0,L4,410.2757455624217,10-20-58-61-71
404,0,L4,410.2757455624217,10-20-58-61-71
404,0,L2,410.2757455624217,10-20-58-61-71
505,0,L4,410.2757455624217,10-20-58-61-71
505,0,L4,410.2757455624217,10-20-58-61-71
505,0,L3,410.2757455624217,10-20-58-61-71
505,0,L3,410.5724660971832,10-19-58-61-71
505,0,L4,410.2757455624217,10-20-58-61-71
505,0,L1,410.2757455624217,10-20-58-61-71
505,0,L3,410.92635158790074,10-18-58-61-71
505,0,L4,410.2757455624217,10-20-58-61-71
505,0,L1,410.5724660971832,10-19-58-61-71
505,0,L4,410.2757455624217,10-20-58-61-71
505,0,L4,410.2757455624217,10-20-58-61-71
505,0,L2,410.2757455624217,10-20-58-61-71
