case,scenario,branch_id,from_bus,to_bus,closed,available,P_MW,Q_Mvar
ieee33,0,1,1,2,1,1,2.0803999999999956,2.3000000000000043
ieee33,0,2,2,3,1,1,1.2910906249999954,1.5300000000000047
ieee33,0,3,3,4,1,1,0.5473937499999959,1.040000000000001
ieee33,0,4,4,5,1,1,0.42739375000000024,0.9600000000000009
ieee33,0,5,5,6,1,1,0.36739374999999797,0.9299999999999997
ieee33,0,6,6,7,0,1,0.0,0.0
ieee33,0,7,7,8,1,1,-0.19999999999999574,-0.09999999999999787
ieee33,0,8,8,9,1,1,0.11999999999999567,0.039999999999995595
ieee33,0,9,9,10,1,1,0.060000000000002274,0.019999999999997797
ieee33,0,10,10,11,0,1,0.0,0.0
ieee33,0,11,11,12,1,1,-0.045000000000001705,-0.030000000000001137
ieee33,0,12,12,13,1,1,-0.2956906250000024,0.24499999999999744
ieee33,0,13,13,14,1,1,-0.3556906249999958,0.20999999999999908
ieee33,0,14,14,15,1,1,-0.19938749999999672,0.129999999999999
ieee33,0,15,15,16,1,1,-0.259387499999999,0.11999999999999567
ieee33,0,16,16,17,1,1,-0.31938750000000127,0.09999999999999787
ieee33,0,17,17,18,1,1,-0.37938750000000354,0.08000000000000007
ieee33,0,18,2,19,1,1,0.6893093750000023,0.7099999999999973
ieee33,0,19,19,20,1,1,0.5993093749999989,0.6700000000000017
ieee33,0,20,20,21,1,1,0.5093093750000044,0.6299999999999972
ieee33,0,21,21,22,1,1,-0.10069062500000392,0.3500000000000014
ieee33,0,22,3,23,1,1,0.6536968749999961,0.4499999999999993
ieee33,0,23,23,24,1,1,0.5636968750000015,0.40000000000000036
ieee33,0,24,24,25,1,1,0.41999999999999815,0.19999999999999574
ieee33,0,25,6,26,1,1,0.5836968749999993,0.9100000000000019
ieee33,0,26,26,27,1,1,0.5236968749999971,0.884999999999998
ieee33,0,27,27,28,1,1,0.46369687500000367,0.860000000000003
ieee33,0,28,28,29,1,1,0.4036968750000014,0.8399999999999963
ieee33,0,29,29,30,1,1,0.28369687499999685,0.7699999999999996
ieee33,0,30,30,31,1,1,0.3599999999999959,0.17000000000000348
ieee33,0,31,31,32,1,1,0.20999999999999908,0.09999999999999787
ieee33,0,32,32,33,0,1,0.0,0.0
ieee33,0,33,21,8,1,1,0.519999999999996,0.2400000000000002
ieee33,0,34,9,15,0,1,0.0,0.0
ieee33,0,35,12,22,1,1,0.19069062499999845,-0.30999999999999694
ieee33,0,36,18,33,1,1,-0.20469375000000234,0.039999999999995595
ieee33,0,37,25,29,0,1,0.0,0.0
ieee33,1,1,1,2,1,1,3.1578568411609265,2.398375285283638
ieee33,1,2,2,3,1,1,1.7037787296991524,1.5814380246451698
ieee33,1,3,3,4,1,1,0.7119238784609827,1.0395466735429792
ieee33,1,4,4,5,1,1,0.5792157924767771,0.9510746162201755
ieee33,1,5,5,6,1,1,0.5128617494846655,0.9178975947241241
ieee33,1,6,6,7,0,1,0.0,0.0
ieee33,1,7,7,8,1,1,-0.22118014330701818,-0.11059007165350465
ieee33,1,8,8,9,1,1,0.13270808598421446,0.04423602866140186
ieee33,1,9,9,10,1,1,0.06635404299210279,0.02211801433070093
ieee33,1,10,10,11,0,1,0.0,0.0
ieee33,1,11,11,12,1,1,-0.04976553224407709,-0.033177021496051395
ieee33,1,12,12,13,1,1,0.25417583402120414,0.2363393844575512
ieee33,1,13,13,14,1,1,0.18782179102910135,0.1976328593788157
ieee33,1,14,14,15,1,1,0.191277584672509,0.10916080205601197
ieee33,1,15,15,16,1,1,0.1249235416804062,0.09810179489066151
ieee33,1,16,16,17,1,1,0.05856949868830341,0.07598378055996058
ieee33,1,17,17,18,1,1,-0.007784544303808261,0.05386576622925965
ieee33,1,18,2,19,1,1,1.3434880398082605,0.7505832176463656
ieee33,1,19,19,20,1,1,1.2439569753201063,0.7063471889849549
ieee33,1,20,20,21,1,1,1.144425910831952,0.662111160323553
ieee33,1,21,21,22,1,1,0.4698264737455471,0.3524589596937311
ieee33,1,22,3,23,1,1,0.8923237867500067,0.4976553224407887
ieee33,1,23,23,24,1,1,0.7927927222618525,0.44236028661403637
ieee33,1,24,24,25,1,1,0.4644783009447373,0.22118014330701818
ieee33,1,25,6,26,1,1,0.5826715861201848,0.8957795803934232
ieee33,1,26,26,27,1,1,0.516317543128082,0.8681320624800382
ieee33,1,27,27,28,1,1,0.4499635001359703,0.840484544566662
ieee33,1,28,28,29,1,1,0.3836094571438675,0.8183665302359611
ieee33,1,29,29,30,1,1,0.25090137115966193,0.7409534800785078
ieee33,1,30,30,31,1,1,0.16588510748026586,0.07741305015745326
ieee33,1,31,31,32,1,0,0.0,0.0
ieee33,1,32,32,33,0,1,0.0,0.0
ieee33,1,33,21,8,1,1,0.575068372598242,0.26541617196842004
ieee33,1,34,9,15,0,1,0.0,0.0
ieee33,1,35,12,22,1,1,-0.3702954092573929,-0.30822293103232923
ieee33,1,36,18,33,1,1,-0.0464355012200901,0.009629737567857788
ieee33,1,37,25,29,0,1,0.0,0.0
ieee33,2,1,1,2,1,1,2.0361661519294927,1.6149549931084017
ieee33,2,2,2,3,1,1,1.9222998373699252,1.5466352043726683
ieee33,2,3,3,4,1,1,0.9030277272501142,0.9886902630307848
ieee33,2,4,4,5,1,1,0.7663881497786385,0.8975972113831343
ieee33,2,5,5,6,1,1,0.6980683610428962,0.8634373170152632
ieee33,2,6,6,7,0,1,0.0,0.0
ieee33,2,7,7,8,1,1,0.0,0.0
ieee33,2,8,8,9,1,1,0.0,0.0
ieee33,2,9,9,10,1,1,0.0,0.0
ieee33,2,10,10,11,0,1,0.0,0.0
ieee33,2,11,11,12,1,1,0.0,0.0
ieee33,2,12,12,13,1,1,0.0,0.0
ieee33,2,13,13,14,1,1,0.0,0.0
ieee33,2,14,14,15,1,1,0.0,0.0
ieee33,2,15,15,16,1,1,0.0,0.0
ieee33,2,16,16,17,1,1,0.0,0.0
ieee33,2,17,17,18,1,1,0.0,0.0
ieee33,2,18,2,19,1,0,0.0,0.0
ieee33,2,19,19,20,1,1,0.0,0.0
ieee33,2,20,20,21,1,1,0.0,0.0
ieee33,2,21,21,22,1,1,0.0,0.0
ieee33,2,22,3,23,1,1,0.9167924270161976,0.5123984155180494
ieee33,2,23,23,24,1,1,0.814312743912593,0.4554652582382701
ieee33,2,24,24,25,1,1,0.4782385211501783,0.22773262911913505
ieee33,2,25,6,26,1,1,0.7719128706949352,0.8406640541033461
ieee33,2,26,26,27,1,1,0.7035930819591929,0.8121974754634564
ieee33,2,27,27,28,1,1,0.6352732932234506,0.7837308968235668
ieee33,2,28,28,29,1,1,0.5669535044877083,0.7609576339116497
ieee33,2,29,29,30,1,1,0.4303139270162326,0.6812512137199533
ieee33,2,30,30,31,1,1,0.4099187324144449,0.1935727347512639
ieee33,2,31,31,32,1,1,0.23911926057508914,0.11386631455956753
ieee33,2,32,32,33,0,1,0.0,0.0
ieee33,2,33,21,8,1,1,0.0,0.0
ieee33,2,34,9,15,0,1,0.0,0.0
ieee33,2,35,12,22,1,1,0.0,0.0
ieee33,2,36,18,33,1,1,0.0,0.0
ieee33,2,37,25,29,0,1,0.0,0.0
ieee33,3,1,1,2,1,1,1.8751959171071775,1.6787032005200508
ieee33,3,2,2,3,1,1,0.7472942967231511,0.9799997062495436
ieee33,3,3,3,4,1,1,0.6656276545356921,0.9437034208328932
ieee33,3,4,4,5,1,1,0.5567387982857408,0.8711108499995923
ieee33,3,5,5,6,1,1,0.5022943701607652,0.8438886359371089
ieee33,3,6,6,7,0,1,0.0,0.0
ieee33,3,7,7,8,1,1,-0.1814814270832521,-0.09074071354162605
ieee33,3,8,8,9,1,1,0.10888885624995126,0.03629628541665042
ieee33,3,9,9,10,1,1,0.05444442812497563,0.01814814270832521
ieee33,3,10,10,11,0,1,0.0,0.0
ieee33,3,11,11,12,1,1,-0.04083332109373394,-0.027222214062483374
ieee33,3,12,12,13,1,1,0.14336487845739931,0.22231474817697716
ieee33,3,13,13,14,1,1,0.08892045033243257,0.19055549843741026
ieee33,3,14,14,15,1,1,0.14629169129356967,0.11796292760410942
ieee33,3,15,15,16,1,1,0.09184726316859404,0.10888885624995126
ieee33,3,16,16,17,1,1,0.03740283504361841,0.09074071354162605
ieee33,3,17,17,18,1,1,-0.01704159308135722,0.07259257083330084
ieee33,3,18,2,19,1,1,1.0371609068424004,0.6442590661455316
ieee33,3,19,19,20,1,1,0.9554942646549414,0.6079627807288812
ieee33,3,20,20,21,1,1,0.8738276224674824,0.5716664953122308
ieee33,3,21,21,22,1,1,0.3203092698635679,0.31759249739568673
ieee33,3,22,3,23,1,0,0.0,0.0
ieee33,3,23,23,24,1,1,0.0,0.0
ieee33,3,24,24,25,1,1,0.0,0.0
ieee33,3,25,6,26,1,1,0.6141100392468779,0.8257404932287837
ieee33,3,26,26,27,1,1,0.5596656111219023,0.803055314843375
ieee33,3,27,27,28,1,1,0.5052211829969355,0.7803701364579663
ieee33,3,28,28,29,1,1,0.4507767548719599,0.7622219937496411
ieee33,3,29,29,30,1,1,0.34188789862200863,0.6987034942705073
ieee33,3,30,30,31,1,1,0.3266665687498449,0.15425921302075984
ieee33,3,31,31,32,1,1,0.19055549843741026,0.09074071354162605
ieee33,3,32,32,33,0,1,0.0,0.0
ieee33,3,33,21,8,1,1,0.4718517104164466,0.21777771249990252
ieee33,3,34,9,15,0,1,0.0,0.0
ieee33,3,35,12,22,1,1,-0.2386426276761089,-0.2812962119790363
ieee33,3,36,18,33,1,1,-0.022131903571924738,0.03629628541665042
ieee33,3,37,25,29,0,1,0.0,0.0
ieee33,4,1,1,2,1,1,2.4936289898776476,2.1858221069350847
ieee33,4,2,2,3,1,1,1.357407068836114,1.4540468798307238
ieee33,4,3,3,4,1,1,0.6071593820474153,0.9883717353097765
ieee33,4,4,4,5,1,1,0.4931164895116691,0.9123431402859428
ieee33,4,5,5,6,1,1,0.436095043243796,0.8838324171520107
ieee33,4,6,6,7,0,1,0.0,0.0
ieee33,4,7,7,8,1,1,-0.19007148755957104,-0.09503574377978552
ieee33,4,8,8,9,1,1,0.11404289253574618,0.03801429751191243
ieee33,4,9,9,10,1,1,0.05702144626787309,0.019007148755960657
ieee33,4,10,10,11,0,0,0.0,0.0
ieee33,4,11,11,12,1,1,-0.042766084700902596,-0.028510723133932103
ieee33,4,12,12,13,1,1,0.10508410103084564,0.23283757226047364
ieee33,4,13,13,14,1,1,0.048062654762972556,0.19957506193755137
ieee33,4,14,14,15,1,1,0.15313666199235243,0.12354646691371762
ieee33,4,15,15,16,1,1,0.09611521572447934,0.11404289253574618
ieee33,4,16,16,17,1,1,0.03909376945660625,0.09503574377978552
ieee33,4,17,17,18,1,1,-0.017927676811266835,0.07602859502382486
ieee33,4,18,2,19,1,1,1.0411861772617392,0.674753780836479
