seed,round,loop,objective,open_branches
101,0,L3,471.6223054652521,6-10-32-34-37
101,0,L2,471.6223054652521,6-10-32-34-37
101,0,L2,474.57076079293927,6-9-32-34-37
101,0,L3,471.6223054652521,6-10-32-34-37
101,0,L1,476.1209934009951,7-10-32-34-37
101,0,L2,471.6223054652521,6-10-32-34-37
101,0,L3,471.6223054652521,6-10-32-34-37
101,0,L2,474.3714841069827,6-11-32-34-37
101,0,L3,471.6223054652521,6-10-32-34-37
101,0,L1,471.6223054652521,6-10-32-34-37
202,0,L3,471.7154461494682,11-28-31-33-34
202,0,L3,471.6223054652521,6-10-32-34-37
202,0,L3,471.6223054652521,6-10-32-34-37
202,0,L1,471.7154461494682,11-28-31-33-34
202,0,L2,471.6223054652521,6-10-32-34-37
202,0,L1,471.7154461494682,11-28-31-33-34
303,0,L3,471.7154461494682,11-28-31-33-34
303,0,L3,471.6223054652521,6-10-32-34-37
303,0,L3,471.6223054652521,6-10-32-34-37
303,0,L1,471.7154461494682,11-28-31-33-34
303,0,L2,471.6223054652521,6-10-32-34-37
303,0,L1,474.1888181231034,10-28-31-33-34
303,0,L3,471.7154461494682,11-28-31-33-34
404,0,L3,471.7154461494682,11-28-31-33-34
404,0,L3,471.6223054652521,6-10-32-34-37
404,0,L3,471.6223054652521,6-10-32-34-37
404,0,L1,471.7154461494682,11-28-31-33-34
404,0,L2,471.6223054652521,6-10-32-34-37
404,0,L1,474.1888181231034,10-28-31-33-34
404,0,L3,471.7154461494682,11-28-31-33-34
505,0,L3,471.7154461494682,11-28-31-33-34
505,0,L3,471.6223054652521,6-10-32-34-37
505,0,L3,471.6223054652521,6-10-32-34-37
505,0,L1,471.7154461494682,11-28-31-33-34
505,0,L2,471.6223054652521,6-10-32-34-37
505,0,L1,474.1888181231034,10-28-31-33-34
505,0,L3,471.7154461494682,11-28-31-33-34
