candidate,source,seed,feasible,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
69-70-71-72-73,seed_candidate,,True,1473.3375899840657,2.065791715595355,8.215511570283798,0.8170691525285206,0.8414554296537385,0.9999039434441035
10-16-55-62-71,seed_candidate,,True,806.9777641167641,0.9412499768136162,7.542126933041663,0.9374488378432299,0.40412677660175805,0.999953866806324
5-14-25-42-43,random_pool,101.0,True,2005.3671464250783,2.6278907617122864,8.964704550474565,0.8034290110026051,1.1329023576507475,0.9998706732468435
7-16-21-42-44,random_pool,101.0,True,1939.5931923418952,2.5265544940115454,8.777537792202883,0.7923095816973295,1.0507434681849674,0.999880052115504
13-36-44-55-59,random_pool,101.0,True,1972.82457032722,2.744731949292178,8.39936957559811,0.5930452494821763,0.8210595350504833,0.9999062717425742
13-36-43-52-60,random_pool,101.0,True,1961.088949063008,2.7424165111013354,8.272853549300182,0.5949704123188382,0.8229963176273597,0.9999060506486727
12-18-39-43-54,random_pool,101.0,True,1412.534874653014,1.8005375188693493,8.649409083851944,0.8930746639439291,0.6171997792035975,0.9999295434042005
16-21-49-69-71,random_pool,101.0,True,1850.9085346443376,2.6327557479720696,9.188651810564117,0.7557792520730299,1.0649352240785424,0.9998784320520459
17-41-44-47-61,random_pool,101.0,True,1992.6809948075515,2.836375887384598,10.226078668446615,0.7236505070900497,1.133968693528578,0.9998705515190036
15-36-43-56-64,random_pool,101.0,True,999.5192089993445,1.292766245469742,6.679846911062772,0.9152393069074929,0.5166135634029477,0.9999410258489266
12-20-36-44-54,random_pool,101.0,True,1417.2159078610766,1.8126477060199562,8.652509324094178,0.8927478979852924,0.6222980873398812,0.9999289614055548
18-43-58-64-69,random_pool,101.0,True,965.9074015394427,1.249340081471593,6.609446843088234,0.9161903024920701,0.5041939821117237,0.999942443609348
19-23-42-43-49,random_pool,101.0,True,1874.6804295217084,2.636889009942082,9.37665345670682,0.7508339824655211,1.0590016394357267,0.999879109401891
12-42-43-55-70,random_pool,101.0,True,1386.3783662003725,1.7696541530147152,8.658514021545736,0.895118339167331,0.6155794876707913,0.9999297283689873
13-26-37-45-72,random_pool,101.0,True,1552.5278916873767,2.1299948934563444,8.543555252663113,0.8099572192563145,0.8508117909072863,0.9999028753663348
7-12-20-35-43,random_pool,101.0,True,2107.7377130980108,2.729076012946161,9.70126087380409,0.8406394646276361,0.870146586898244,0.9999006681978426
13-23-38-44-52,random_pool,101.0,True,1197.9561550346789,1.54522531654544,7.064539906220174,0.901954440455576,0.6015149887756328,0.9999313339053909
8-19-26-36-71,random_pool,101.0,True,1885.4039793089664,2.4696638615807034,8.511382080415592,0.8324761593773278,1.0714351595460083,0.9998776900502802
12-19-42-56-71,random_pool,101.0,True,1267.5746327021382,1.6196147660480753,8.288684030189144,0.9030717613200406,0.5244075924205143,0.9999401361195867
20-21-41-45-55,random_pool,101.0,True,1134.7182271071442,1.4297301552895831,7.050918994765533,0.9075974145809788,0.5491014704248334,0.9999373171837415
7-15-21-42-45,random_pool,101.0,True,1936.7260053399068,2.5204295226486852,8.755552377284895,0.7867128682833561,1.0478393588481543,0.9998803836348347
7-12-16-69-71,random_pool,101.0,True,1825.6542218435925,2.378300072158251,9.156768686074535,0.8542721827203287,0.7717625781059396,0.9999118992490746
5-18-23-36-71,random_pool,101.0,True,2133.3427979675735,2.769907477510547,9.236435961335053,0.7966969377740132,1.1857985680385088,0.9998646348666622
6-15-41-44-60,random_pool,101.0,True,2802.061874410032,3.8419194124166793,10.290028017431162,0.4619178294147426,1.0212081490893552,0.9998834237272729
6-10-18-26-44,random_pool,101.0,True,1435.7982385949335,1.7303900460943042,8.904737546684064,0.8621955722421427,0.8959259154869789,0.9998977253521134
12-17-42-43-55,random_pool,101.0,True,1388.9598570439975,1.7699315244100522,8.660041719921363,0.8949194085147113,0.6187642652421985,0.9999293648099039
7-15-25-36-43,random_pool,101.0,True,2062.891372154442,2.702989116375935,9.061229883346467,0.8200544347713922,1.1240108835866525,0.9998716882552984
5-40-44-61-70,random_pool,101.0,True,2004.4977418845942,2.6688728483940407,8.96333827122011,0.8343835650541891,0.9959091260775206,0.9998863117435984
3-16-22-53-71,random_pool,101.0,True,3286.8272582588984,4.150280607697808,17.61220874538386,0.46978748190255065,1.1410019312639017,0.9998697486379836
13-36-44-63-72,random_pool,101.0,True,1319.5936711610639,1.7656382046674928,8.195706388402003,0.8136403993042249,0.7574913276188731,0.9999135283872581
6-15-24-38-71,random_pool,101.0,True,2078.6409147831046,2.7087130290380395,9.088698893260192,0.7940412629678125,1.1498655578198516,0.9998687368084681
10-20-23-45-57,random_pool,101.0,True,1142.1945492938657,1.3981232533344812,8.045285458874599,0.9141331538769477,0.5316279983963387,0.9999393118723292
