candidate,source,seed,feasible,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
33-34-35-36-37,base_seed_candidate,,True,1352.816901749838,1.4505855460685249,6.976551741633825,0.8787112634559336,0.444759518183061,0.9999492283655043
6-17-21-23-34,random_pool,101.0,True,1797.6536243266,1.808454404886942,9.570643916066677,0.805819737963528,0.5939690687935605,0.9999321953117816
4-9-33-34-36,random_pool,101.0,True,1797.965969780268,1.7865857084762622,9.325257296634852,0.7858817820711202,0.5185063888887487,0.9999408097729579
9-13-20-32-37,random_pool,101.0,True,1450.3556930188552,1.4526636709547822,7.551170290907891,0.85973294607139,0.48197549161422076,0.9999449799667107
11-14-18-22-32,random_pool,101.0,True,2491.7744063684286,2.604058807329377,11.09465134476463,0.6820572875846246,0.8938692508798145,0.9998979601311782
8-14-19-24-36,random_pool,101.0,True,1978.9314349916067,2.060310736232851,9.179256180517742,0.7657922221102885,0.6614618939587419,0.9999244906513746
9-12-19-23-29,random_pool,101.0,True,2248.6692512804034,2.332068457766075,10.520032795490561,0.6667745073940898,0.8187870301082895,0.9999065311609465
7-8-13-27-29,random_pool,101.0,True,1685.6596819600327,1.62444202942395,9.101995554409628,0.8097402799253716,0.4820802428162989,0.9999449680088109
8-13-19-24-32,random_pool,101.0,True,1941.3510051290282,2.014089979859828,9.179256180517742,0.7573346489314292,0.6759805613681342,0.9999228332692502
3-11-14-17-33,random_pool,101.0,True,2453.046900448253,2.5754942559519653,11.314953668025707,0.7239800876449497,0.7291294724571661,0.9999167660419569
7-12-21-23-31,random_pool,101.0,True,1755.047556856408,1.716249930880154,9.521117760442571,0.8091522453946127,0.5600522250904233,0.9999360670975924
5-12-30-33-35,random_pool,101.0,True,2504.0792635523526,2.716450813587982,11.58665939552854,0.7980347380319377,0.7871512382082269,0.9999101425527159
11-15-19-28-34,random_pool,101.0,True,1334.1088807075762,1.4556241450821936,6.734446449004675,0.8818350229926712,0.41578837309010214,0.9999525355738481
2-8-14-23-30,random_pool,101.0,True,3575.4856558511997,3.3881328617094537,17.25796601444431,0.6356655810073648,1.0619179216749353,0.9998787764929595
7-13-15-21-28,random_pool,101.0,True,1320.3287726628357,1.426282136787044,7.111848161475113,0.8884530949651593,0.40150787670489646,0.9999541657674994
3-10-12-15-20,random_pool,101.0,True,2900.3721159149623,3.0628246494532267,13.216893760545537,0.700764205220261,0.882275277541053,0.9998992836441163
5-8-13-17-33,random_pool,101.0,True,1659.286671042286,1.6646611111759293,9.079106498798462,0.8387485510346342,0.4981309818725373,0.9999431357326629
7-11-12-26-29,random_pool,101.0,True,1699.3927049862068,1.6458714128662755,9.31192028513852,0.8134247423812255,0.4981533586365883,0.9999431331782378
7-11-12-15-24,random_pool,101.0,True,1487.8064399632854,1.513970852035621,7.845247557504585,0.8396228218785667,0.4571454985150254,0.9999478144408088
8-14-16-19-26,random_pool,101.0,True,1514.3280456620055,1.613666138593135,7.547161053071768,0.8714087118183107,0.47521728137030667,0.9999457514518983
9-13-24-32-33,random_pool,101.0,True,1482.7690161364262,1.4714065904426754,7.599055170014063,0.822693339471492,0.4715596526581167,0.9999461689894226
14-17-20-21-22,random_pool,101.0,True,2281.0526651924138,2.4322693831566857,10.520032795490561,0.67923124485652,0.8560852833118693,0.9999022733694849
7-13-15-27-35,random_pool,101.0,True,1335.3094214120688,1.4217129819104346,7.2884419720829206,0.8867373881754067,0.3979795579083706,0.9999545685436178
7-8-26-29-34,random_pool,101.0,True,1645.8279482769549,1.513898294223753,9.155051551043298,0.8197477078726348,0.46875630441444793,0.9999464890063454
14-16-33-35-37,random_pool,101.0,True,1350.3800630964688,1.433882104466325,6.976551741633825,0.8735944692303351,0.4237958235586054,0.9999516214813289
9-14-15-20-24,random_pool,101.0,True,1819.619697565758,1.8697707627798787,8.891946905880708,0.777377960184293,0.6162059445150184,0.9999296568556489
