seed,round,loop,objective,open_branches
101,0,L1,751.4529623146632,9-14-28-31-33
101,0,L5,773.7739306717428,11-28-31-33-34
101,0,L1,773.7739306717428,11-28-31-33-34
101,0,L3,773.7739306717428,11-28-31-33-34
101,0,L1,786.9780270082241,10-28-31-33-34
101,0,L3,773.7739306717428,11-28-31-33-34
101,0,L1,773.7739306717428,11-28-31-33-34
101,0,L5,773.7739306717428,11-28-31-33-34
101,0,L3,798.9943172385997,11-28-33-34-36
101,0,L5,773.7739306717428,11-28-31-33-34
202,0,L3,751.4529623146632,9-14-28-31-33
202,0,L1,751.4529623146632,9-14-28-31-33
202,0,L4,751.4529623146632,9-14-28-31-33
202,0,L1,759.2064949410603,10-14-28-31-33
202,0,L3,751.4529623146632,9-14-28-31-33
202,0,L1,751.4529623146632,9-14-28-31-33
202,0,L3,751.4529623146632,9-14-28-31-33
303,0,L3,751.4529623146632,9-14-28-31-33
303,0,L1,751.4529623146632,9-14-28-31-33
303,0,L4,751.4529623146632,9-14-28-31-33
303,0,L1,759.2064949410603,10-14-28-31-33
303,0,L3,751.4529623146632,9-14-28-31-33
303,0,L1,751.4529623146632,9-14-28-31-33
303,0,L3,751.4529623146632,9-14-28-31-33
404,0,L3,751.4529623146632,9-14-28-31-33
404,0,L1,751.4529623146632,9-14-28-31-33
404,0,L4,751.4529623146632,9-14-28-31-33
404,0,L1,759.2064949410603,10-14-28-31-33
404,0,L3,751.4529623146632,9-14-28-31-33
404,0,L1,751.4529623146632,9-14-28-31-33
404,0,L3,751.4529623146632,9-14-28-31-33
505,0,L3,751.4529623146632,9-14-28-31-33
505,0,L1,751.4529623146632,9-14-28-31-33
505,0,L4,751.4529623146632,9-14-28-31-33
505,0,L1,759.2064949410603,10-14-28-31-33
505,0,L3,751.4529623146632,9-14-28-31-33
505,0,L1,751.4529623146632,9-14-28-31-33
505,0,L3,751.4529623146632,9-14-28-31-33
